;;DRYING;PIRO;RED;COMB
1;11.30;37;33;33;34
2;11.30;37;33;33;34
3;11.30;38;33;33;34
4;11.30;38;33;33;34
5;11.30;39;33;33;34
6;11.30;39;33;33;34
7;11.30;40;33;33;34
8;11.30;40;33;33;34
9;11.30;40;33;33;34
10;11.30;40;33;33;34
11;11.30;40;33;33;34
12;11.30;40;33;33;34
13;11.30;40;33;33;34
14;11.30;40;33;33;34
15;11.30;40;33;33;34
16;11.30;39;33;33;34
17;11.30;39;33;33;34
18;11.30;39;33;33;34
19;11.30;39;33;33;34
20;11.30;41;34;33;34
21;11.30;45;34;33;34
22;11.30;47;34;33;34
23;11.30;50;34;33;34
24;11.30;51;34;33;34
25;11.30;56;35;33;34
26;11.30;60;35;33;34
27;11.30;63;36;33;34
28;11.30;65;36;33;34
29;11.31;66;37;33;34
30;11.31;67;37;33;34
31;11.31;68;37;33;34
32;11.31;69;37;33;34
33;11.31;70;37;33;34
34;11.31;71;38;33;34
35;11.31;71;38;33;34
36;11.31;72;38;33;34
37;11.31;72;38;33;34
38;11.31;73;38;33;34
39;11.31;73;38;33;34
40;11.31;73;39;33;34
41;11.31;73;39;33;34
42;11.31;73;39;33;34
43;11.31;73;39;33;34
44;11.31;72;39;33;34
45;11.31;72;39;33;34
46;11.31;72;39;33;34
47;11.31;71;39;33;34
48;11.31;71;39;33;34
49;11.31;71;39;33;34
50;11.31;70;39;33;34
51;11.31;70;39;33;34
52;11.31;70;39;33;34
53;11.31;70;39;33;34
54;11.31;70;39;33;34
55;11.31;72;39;33;34
56;11.31;76;39;33;34
57;11.31;77;40;33;34
58;11.31;79;40;33;34
59;11.31;79;40;33;34
60;11.31;80;40;33;34
61;11.31;80;40;33;34
62;11.31;80;40;33;34
63;11.31;81;40;33;34
64;11.32;81;40;33;34
65;11.32;81;40;33;34
66;11.32;81;40;33;34
67;11.32;81;40;33;34
68;11.32;80;40;33;34
69;11.32;80;41;33;34
70;11.32;80;41;33;34
71;11.32;81;41;33;34
72;11.32;81;41;33;34
73;11.32;81;41;33;34
74;11.32;81;41;33;34
75;11.32;80;41;33;34
76;11.32;80;41;33;34
77;11.32;80;41;33;34
78;11.32;79;41;33;34
79;11.32;79;41;33;34
80;11.32;79;41;33;34
81;11.32;78;41;33;34
82;11.32;78;41;33;34
83;11.32;77;41;33;34
84;11.32;77;41;33;34
85;11.32;76;41;33;34
86;11.32;76;41;33;34
87;11.32;75;41;33;34
88;11.32;74;41;33;34
89;11.32;74;41;33;34
90;11.32;74;41;33;34
91;11.32;73;41;33;34
92;11.32;73;41;33;34
93;11.32;72;41;33;34
94;11.32;72;41;33;34
95;11.32;71;41;33;34
96;11.33;71;41;33;34
97;11.33;70;41;33;34
98;11.33;70;41;33;34
99;11.33;69;40;33;34
100;11.33;69;40;33;34
101;11.33;69;41;33;34
102;11.33;68;41;33;34
103;11.33;68;40;33;34
104;11.33;68;40;33;34
105;11.33;68;40;33;34
106;11.33;68;40;33;34
107;11.33;69;41;33;34
108;11.33;71;41;33;35
109;11.33;72;41;33;35
110;11.33;74;41;33;35
111;11.33;76;41;33;35
112;11.33;76;41;33;35
113;11.33;80;41;33;35
114;11.33;82;42;33;35
115;11.33;84;42;33;35
116;11.33;86;42;33;35
117;11.33;87;42;33;35
118;11.33;88;42;33;35
119;11.33;89;43;33;35
120;11.33;92;43;33;35
121;11.33;93;43;33;35
122;11.33;95;44;33;35
123;11.33;97;44;33;35
124;11.34;100;44;33;35
125;11.34;101;44;33;36
126;11.34;104;45;33;36
127;11.34;106;45;33;36
128;11.34;107;45;33;36
129;11.34;109;45;33;36
130;11.34;112;46;33;36
131;11.34;114;46;33;36
132;11.34;116;46;33;36
133;11.34;119;46;33;37
134;11.34;124;47;33;37
135;11.34;128;47;33;37
136;11.34;137;48;33;37
137;11.34;142;49;33;37
138;11.34;147;52;33;37
139;11.34;150;54;33;37
140;11.34;155;58;33;37
141;11.34;159;60;33;38
142;11.34;161;62;33;38
143;11.34;168;67;33;38
144;11.34;171;70;33;38
145;11.34;172;72;33;38
146;11.34;175;75;33;38
147;11.34;179;79;33;38
148;11.34;181;82;33;38
149;11.34;184;85;33;38
150;11.34;186;88;33;38
151;11.35;187;90;33;38
152;11.35;189;93;33;38
153;11.35;190;97;33;38
154;11.35;192;102;33;39
155;11.35;193;106;33;39
156;11.35;194;107;33;39
157;11.35;197;113;33;39
158;11.35;197;115;33;39
159;11.35;198;117;33;39
160;11.35;199;118;33;39
161;11.35;199;120;33;39
162;11.35;199;121;33;39
163;11.35;200;123;33;39
164;11.35;200;124;33;39
165;11.35;200;125;33;39
166;11.35;200;125;33;39
167;11.35;200;126;33;39
168;11.35;200;126;33;39
169;11.35;200;127;33;39
170;11.35;200;128;33;39
171;11.35;199;128;33;39
172;11.35;197;129;33;39
173;11.35;197;129;33;39
174;11.35;196;129;33;39
175;11.35;196;129;33;39
176;11.35;195;129;33;39
177;11.35;195;129;33;39
178;11.35;194;129;33;39
