;;HISAP;PRIMER;VIBGRATE;FEEDER
1;11.30;0;0;0;30
2;11.30;0;0;0;30
3;11.30;0;0;0;30
4;11.30;0;0;0;30
5;11.30;0;0;0;30
6;11.30;0;0;0;30
7;11.30;0;0;0;30
8;11.30;0;0;0;30
9;11.30;0;0;0;30
10;11.30;0;0;0;30
11;11.30;0;0;0;30
12;11.30;0;0;0;30
13;11.30;0;0;0;30
14;11.30;0;0;0;30
15;11.30;0;0;0;30
16;11.30;0;0;0;30
17;11.30;0;0;0;30
18;11.30;0;0;0;30
19;11.30;0;0;0;30
20;11.30;0;0;0;30
21;11.30;0;0;0;30
22;11.30;0;0;0;30
23;11.30;0;0;0;30
24;11.30;0;0;0;30
25;11.30;0;0;0;30
26;11.30;0;0;0;30
27;11.30;0;0;0;30
28;11.30;0;0;0;30
29;11.31;0;0;0;30
30;11.31;0;0;0;30
31;11.31;0;0;0;30
32;11.31;0;0;0;30
33;11.31;0;0;0;30
34;11.31;0;0;0;30
35;11.31;0;0;0;30
36;11.31;0;0;0;30
37;11.31;0;0;0;30
38;11.31;0;0;0;30
39;11.31;0;0;0;30
40;11.31;0;0;0;30
41;11.31;0;0;0;30
42;11.31;0;0;0;30
43;11.31;0;0;0;30
44;11.31;0;0;0;30
45;11.31;0;0;0;30
46;11.31;0;0;0;30
47;11.31;0;0;0;30
48;11.31;0;0;0;30
49;11.31;0;0;0;30
50;11.31;0;0;0;30
51;11.31;0;0;0;30
52;11.31;0;0;0;30
53;11.31;0;0;0;30
54;11.31;0;0;0;30
55;11.31;0;0;0;30
56;11.31;0;0;0;30
57;11.31;0;0;0;30
58;11.31;0;0;0;30
59;11.31;0;0;0;30
60;11.31;0;0;0;30
61;11.31;0;0;0;30
62;11.31;0;0;0;30
63;11.31;0;0;0;30
64;11.32;0;3;0;30
65;11.32;0;3;0;30
66;11.32;0;3;0;30
67;11.32;0;3;0;30
68;11.32;0;3;0;30
69;11.32;0;3;0;30
70;11.32;0;3;0;30
71;11.32;0;3;0;30
72;11.32;0;3;0;30
73;11.32;0;3;0;30
74;11.32;0;3;0;30
75;11.32;0;3;0;30
76;11.32;0;3;0;30
77;11.32;0;3;0;30
78;11.32;0;3;0;30
79;11.32;0;3;0;30
80;11.32;0;3;0;30
81;11.32;0;3;0;30
82;11.32;0;3;0;30
83;11.32;0;3;0;30
84;11.32;0;3;0;30
85;11.32;0;3;0;30
86;11.32;0;3;0;30
87;11.32;0;3;0;30
88;11.32;0;3;0;30
89;11.32;0;3;0;30
90;11.32;0;3;0;30
91;11.32;0;3;0;30
92;11.32;0;3;0;30
93;11.32;0;3;0;30
94;11.32;0;3;0;30
95;11.32;0;3;0;30
96;11.33;0;3;0;30
97;11.33;0;3;0;30
98;11.33;0;3;0;30
99;11.33;0;3;0;30
100;11.33;0;3;0;30
101;11.33;0;3;0;30
102;11.33;0;3;0;30
103;11.33;0;3;0;30
104;11.33;0;3;0;30
105;11.33;0;3;0;30
106;11.33;0;3;0;30
107;11.33;0;3;0;30
108;11.33;0;3;0;30
109;11.33;0;3;0;30
110;11.33;0;3;0;30
111;11.33;0;3;0;30
112;11.33;0;3;0;30
113;11.33;0;3;0;30
114;11.33;0;3;0;30
115;11.33;0;3;0;30
116;11.33;0;3;0;30
117;11.33;0;3;0;30
118;11.33;0;3;0;30
119;11.33;0;3;0;30
120;11.33;0;3;0;30
121;11.33;0;3;0;30
122;11.33;0;3;0;30
123;11.33;0;3;0;30
124;11.34;0;5;0;30
125;11.34;0;5;0;30
126;11.34;0;5;0;30
127;11.34;0;5;0;30
128;11.34;0;5;0;30
129;11.34;0;5;0;30
130;11.34;0;5;0;30
131;11.34;0;5;0;30
132;11.34;0;5;0;30
133;11.34;0;5;0;30
134;11.34;0;5;0;30
135;11.34;0;5;0;30
136;11.34;0;5;0;30
137;11.34;0;5;0;30
138;11.34;0;5;0;30
139;11.34;0;5;0;30
140;11.34;0;5;0;30
141;11.34;0;5;0;30
142;11.34;0;5;0;30
143;11.34;0;5;0;30
144;11.34;0;5;0;30
145;11.34;0;5;0;30
146;11.34;0;5;0;30
147;11.34;0;5;0;30
148;11.34;0;5;0;30
149;11.34;0;5;0;30
150;11.34;0;5;0;30
151;11.35;0;5;0;30
152;11.35;0;5;0;30
153;11.35;0;5;0;30
154;11.35;0;5;0;30
155;11.35;0;5;0;30
156;11.35;0;5;0;30
157;11.35;0;5;0;30
158;11.35;0;5;0;30
159;11.35;0;5;0;30
160;11.35;0;5;0;30
161;11.35;0;5;0;30
162;11.35;0;5;0;30
163;11.35;0;5;0;30
164;11.35;0;5;0;30
165;11.35;0;5;0;30
166;11.35;0;5;0;30
167;11.35;0;5;0;30
168;11.35;0;5;0;30
169;11.35;0;5;0;30
170;11.35;0;5;0;30
171;11.35;0;5;0;30
172;11.35;0;5;0;30
173;11.35;0;5;0;30
174;11.35;0;5;0;30
175;11.35;0;5;0;30
176;11.35;0;5;0;30
177;11.35;0;5;0;30
178;11.35;0;5;0;30
179;11.35;0;5;0;30
180;11.35;0;5;0;30
181;11.35;0;5;0;30
182;11.35;0;5;0;30
183;11.36;10;5;6;30
184;11.36;10;5;6;30
185;11.36;10;5;6;30
186;11.36;10;5;6;30
